序号,资料编号,规则名称,文件标题,发布机构,采集来源机构,发布日期,文号,省份,原始适用范围,市场主题,来源类型,权威等级,有效状态,是否原文,原文链接,本地文本路径,备注
133,AUTO-20260427-6FF22802C9,关于促进新能源消纳和调控的指导意见(发改能源〔2025〕1360号),关于促进新能源消纳和调控的指导意见(发改能源〔2025〕1360号),国家发展改革委,国家发展改革委-政策通知,2025-11-10,发改能源〔2025〕1360号,全国,全国,新能源,官方政策,A,现行有效,是,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202511/t20251110_1401469.html,03_处理后文本\2025-11-10_全国_国家发展改革委_【关于促进新能源消纳和调控的指导意见(发改能源〔2025〕1360号)】-国家发展和改革委员会.txt,关于促进新能源消纳和调控的指导意见(发改能源〔2025〕1360号)
134,AUTO-20260427-A739C746F8,关于上海市2025年度新能源增量项目机制电价竞价结果,关于上海市2025年度新能源增量项目机制电价竞价结果的通知_价格管理,上海市发展和改革委员会,上海市发展和改革委员会,2025-12-03,沪发改价管〔2025〕45号,上海,上海,新能源,官方政策,A,现行有效,是,http://fgw.sh.gov.cn/fgw_jggl/20251203/fe1be03f19b8401a8e2c765b1477c39c.html,03_处理后文本\2025-12-03_上海_上海市发展和改革委员会_关于上海市2025年度新能源增量项目机制电价竞价结果的通知_价格管理.txt,关于上海市2025年度新能源增量项目机制电价竞价结果的通知；OCR文本待人工复核
135,AUTO-20260427-C45458E7FC,西北区域跨省电力中长期交易实施细则,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文）,国家能源局派出机构,国家能源局西北监管局,2024-10-18,西北监能市场〔2024〕74号,陕西;甘肃;青海;宁夏;新疆,西北区域,中长期,监管规则,B,现行有效,是,https://xbj.nea.gov.cn/dtyw/tzgg/202410/t20241018_271012.html,03_处理后文本\2024-10-18_西北区域_国家能源局派出机构_国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文）.txt,国家能源局西北监管局关于印发《西北区域跨省电力中长期交易实施细则》的通知（全文） 2024-10-18；OCR文本待人工复核
136,AUTO-20260427-EC19F02593,西北区域省间电力互济交易实施细则(试行),国家能源局西北监管局关于印发《西北区域省间电力互济交易实施细则(试行)》的通知,国家能源局派出机构,国家能源局西北监管局,2026-04-27,,陕西;甘肃;青海;宁夏;新疆,西北区域,省间交易,监管规则,B,试行,是,https://xbj.nea.gov.cn/dtyw/tzgg/202604/t20260427_300347.html,03_处理后文本\2026-04-27_西北区域_国家能源局派出机构_国家能源局西北监管局关于印发《西北区域省间电力互济交易实施细则(试行)》的通知.txt,国家能源局西北监管局关于印发《西北区域省间电力互济交易实施细则(试行)》的通知 2026-04-27
137,AUTO-20260427-BAC94CD920,山东省电力现货市场交易规则(试行);山东省电力中长期市场交易规则(试行);山东省电力零售市场交易规则(试行),关于印发《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知,国家能源局派出机构,国家能源局山东监管办公室,2020-06-16,鲁监能市场规〔2020〕51号,山东,山东,中长期;现货,监管规则,B,试行,是,https://sdb.nea.gov.cn/dtyw/tzgg/202309/t20230919_110422.html,03_处理后文本\2020-06-16_山东_国家能源局派出机构_关于印发《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知_国家能源局山东监管办公室.txt,关于印发《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山... 2020-06-16
138,AUTO-20260427-E22FE01186,华中省间电力调峰及备用辅助服务市场运营规则,国家能源局华中监管局关于印发《华中省间电力调峰及备用辅助服务市场运营规则》的通知,国家能源局派出机构,国家能源局华中监管局,2022-10-11,,重庆;江西;河南;湖北;湖南;四川;西藏,华中区域,辅助服务;省间交易,监管规则,B,现行有效,是,https://hzj.nea.gov.cn/dtyw/tzgg/202310/t20231021_165597.html,03_处理后文本\2022-10-11_华中区域_国家能源局派出机构_国家能源局华中监管局关于印发《华中省间电力调峰及备用辅助服务市场运营规则》的通知.txt,国家能源局华中监管局关于印发《华中省间电力调峰及备用辅助服务市场运营规则》的通知 2022-10-11
139,AUTO-20260427-5D8B9D2AA9,西北区域备用辅助服务市场运营规则,国家能源局西北监管局关于印发《西北区域备用辅助服务市场运营规则》的通知,国家能源局派出机构,国家能源局西北监管局,2023-05-18,,陕西;甘肃;青海;宁夏;新疆,西北区域,辅助服务,监管规则,B,现行有效,是,https://xbj.nea.gov.cn/dtyw/tzgg/202310/t20231013_147606.html,03_处理后文本\2023-05-18_西北区域_国家能源局派出机构_国家能源局西北监管局关于印发《西北区域备用辅助服务市场运营规则》的通知.txt,国家能源局西北监管局关于印发《西北区域备用辅助服务市场运营规则》的通知 2023-05-18；OCR文本待人工复核
140,AUTO-20260427-426F6E93C0,西北区域省间调峰辅助服务市场运营规则,国家能源局西北监管局关于印发《西北区域省间调峰辅助服务市场运营规则》补充修订条款的通知,国家能源局派出机构,国家能源局西北监管局,2023-11-21,西北监能市场〔2023〕2号,陕西;甘肃;青海;宁夏;新疆,西北区域,辅助服务;省间交易,监管规则,B,现行有效,是,https://xbj.nea.gov.cn/dtyw/tzgg/202312/t20231214_220694.html,03_处理后文本\2023-11-21_西北区域_国家能源局派出机构_国家能源局西北监管局关于印发《西北区域省间调峰辅助服务市场运营规则》补充修订条款的通知.txt,国家能源局西北监管局关于印发《西北区域省间调峰辅助服务市场运营规则》补充修订... 2023-11-21；OCR文本待人工复核
141,AUTO-20260427-A21BC5FA77,湖北源网荷储电力调峰辅助服务市场运营规则,国家能源局华中监管局关于印发《湖北源网荷储电力调峰辅助服务市场运营规则》的通知,国家能源局派出机构,国家能源局华中监管局,2024-01-03,,湖北,华中区域,辅助服务,监管规则,B,现行有效,是,https://hzj.nea.gov.cn/dtyw/tzgg/202401/t20240124_229471.html,03_处理后文本\2024-01-03_华中区域_国家能源局派出机构_国家能源局华中监管局关于印发《湖北源网荷储电力调峰辅助服务市场运营规则》的通知.txt,国家能源局华中监管局关于印发《湖北源网荷储电力调峰辅助服务市场运营规则》的通知 2024-01-03
142,AUTO-20260427-EDE85AAF9A,上海电力中长期交易规则,关于印发修订后的《上海电力中长期交易规则》的通知（华东监...,国家能源局派出机构,国家能源局华东监管局,2025-02-21,,上海,华东区域,中长期,监管规则,B,现行有效,是,https://hdj.nea.gov.cn/dtyw/tzgg/202502/P020250221488658226958.pdf,03_处理后文本\2025-02-21_华东区域_国家能源局派出机构_关于印发修订后的《上海电力中长期交易规则》的通知（华东监..._2025-02-21.ocr.txt,关于印发修订后的《上海电力中长期交易规则》的通知（华东监... 2025-02-21；OCR文本待人工复核
