检索时间,查询词,排序,得分,资料编号,文件标题,发布部门,发布日期,适用地区,来源类型,市场主题,权威等级,有效状态,原文链接,命中说明
2026-04-25 17:48,省间 现货 规则,1,102.60,AUTO-20260424-55178B2DFC,【关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号)】-国家发展和改革委员会,国家发展改革委,2026-04-24,全国,官方政策,电力市场;现货;省间交易,A,现行有效,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202604/t20260424_1404861.html,省间:标题/主题/关键词/备注/正文;现货:标题/主题/关键词/备注/正文;规则:标题/关键词/备注/正文
2026-04-25 17:48,省间 现货 规则,2,46.40,AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,国家能源局华中监管局,2026-04-09,华中区域,监管规则,中长期;省间交易,A,现行有效,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260409_299361.html,省间:标题/主题/关键词/备注/正文;规则:来源/正文
2026-04-25 17:48,省间 现货 规则,3,41.40,AUTO-20260425-D8A4A0C9BE,关于公开征求《华中区域省间电力中长期交易实施细则（征求意见稿）》意见的通知,国家能源局派出机构,2026-01-26,华中区域,监管规则,中长期;省间交易,B,征求意见,https://hzj.nea.gov.cn/dtyw/tzgg/202601/t20260126_294795.html,省间:标题/主题/关键词/备注/正文;规则:来源/正文
2026-04-25 17:48,省间 现货 规则,4,36.20,AUTO-20260424-674A18FA03,关于印发《山东电力市场规则(试行)》的通知_国家能源局山东监管办公室,国家能源局山东监管办公室,2025-12-17,山东,监管规则,电力市场,A,现行有效,https://sdb.nea.gov.cn/dtyw/tzgg/202512/t20251217_292527.html,规则:标题/来源/关键词/备注/正文
2026-04-25 17:48,省间 现货 规则,5,35.40,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会_中国政府网,国家发展改革委,2024-04-18,全国,官方政策,电力市场,A,现行有效,https://www.gov.cn/zhengce/202405/content_6951254.htm,现货:正文;规则:标题/关键词/备注/正文
