抓取日期,来源栏目,发布部门,文件标题,发布日期,命中关键词,原文链接,来源列表页
2026-04-24,国家发展改革委-政策通知,国家发展改革委,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),2026-04-24,交易规则;现货;省间,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202604/t20260424_1404861.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/
2026-04-24,国家发展改革委-政策通知,国家发展改革委,关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号),2026-01-30,容量电价,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202601/t20260130_1403524.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/
2026-04-24,国家发展改革委-规范性文件,国家发展改革委,关于印发《电力中长期市场基本规则》的通知(发改能源规〔2025〕1656号),2025-12-26,中长期,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202512/t20251226_1402666.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/
2026-04-24,国家发展改革委-政策通知,国家发展改革委,关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号),2025-12-17,电力市场,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251217_1402475.html,https://www.ndrc.gov.cn/xxgk/zcfb/tz/
2026-04-24,国家发展改革委-规范性文件,国家发展改革委,关于印发《电力市场计量结算基本规则》的通知(发改能源规〔2025〕976号),2025-08-06,电力市场;计量结算;结算,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202508/t20250806_1399686.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/
2026-04-24,国家发展改革委-规范性文件,国家发展改革委,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),2025-04-29,辅助服务,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/202504/t20250429_1397483.html,https://www.ndrc.gov.cn/xxgk/zcfb/ghxwj/
